project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=SpscArrayQueue&warmup=true;2;8;8;0;0;0;36.691199999999995
jctools;;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=SingleWriterHashSet&readRatio=75&tableSize=100000;3;6;6;6;0;0;48.7776
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=128000;2;7;8;0;0;0;35.647999999999996
jctools;;org.jctools.jmh.collections.SetOps.add;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;5;9;13;9;10;13;106.33279999999999
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=SpscArrayQueue;3;11;11;11;0;0;64.4256
jctools;;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=SpmcArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=SpscArrayQueue;5;12;20;9;9;9;111.5488
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs;limit=1;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=MpmcArrayQueue;2;13;7;0;0;0;40.864
jctools;;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=SpscArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs;limit=10000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpmcArrayQueue;4;19;9;19;11;0;100.50559999999999
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=MpscArrayQueue;3;6;12;10;0;0;59.209599999999995
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=10000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg;limit=10000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs;limit=128000;5;32;20;41;15;34;198.1344
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=SpscArrayQueue;5;19;21;12;19;20;144.9312
jctools;;org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops;burstSize=1&qCapacity=132000&qType=SpscArrayQueue;5;10;14;10;16;25;128.24
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=MpmcArrayQueue;5;8;9;8;7;9;92.7712
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true;2;10;8;0;0;0;38.7776
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline;limit=1;4;19;17;9;9;0;96.33279999999999
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=1;5;10;13;7;9;8;99.03039999999999
jctools;;org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.backoffOneNano;capacity=32000;5;18;17;18;11;12;129.2832
jctools;;org.jctools.jmh.counters.CountersBenchmark.rw;stripes=0;3;8;7;8;0;0;53.9936
jctools;;org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops;burstSize=1&qCapacity=132000&qType=MpmcArrayQueue;5;13;17;16;14;18;131.3696
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs;limit=128000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=MpmcArrayQueue;2;6;7;0;0;0;33.5616
jctools;;org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops;burstSize=1&qCapacity=132000&qType=SpmcArrayQueue;5;26;14;14;14;15;136.5856
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline;limit=128000;5;13;10;14;15;7;111.5488
jctools;;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=MpmcArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=1;5;9;10;11;10;13;105.2896
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=SpscArrayQueue;5;50;10;9;45;16;185.61599999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArg;limit=1;3;6;6;8;0;0;50.864
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline;limit=128000;4;11;50;12;11;0;127.6288
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=MpmcArrayQueue;2;8;8;0;0;0;36.691199999999995
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=MpscArrayQueue;2;14;14;0;0;0;49.209599999999995
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline;limit=1;5;13;13;11;14;13;116.7648
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=10000;3;6;6;6;0;0;48.7776
