selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,30144591,0,4,4,0,28,2,1247,1050,2,2,2,69.832,spriet2000/vertx-http-router
NO,82335928,1,0,0,1,0,0,358286,349311,0,118,13,0,andsel/netty
NO,26175525,1,0,0,1,4120,120,100483,96304,120,109,3,541498867.68,srayhunter/RxJava
NO,32566580,1,0,0,2,1392,14,94226,88150,14,2,5,367255.2576,plusplusjiajia/directory-kerby
NO,38159225,1,0,0,1,0,0,30102,23486,0,6,1,0,arteam/metrics
YES,27392543,0,1010,412,140,4482,99,301213,280195,99,7,2,9.45866739042918e+10,linkedin/gobblin
YES,31298539,0,63,34,11,45,6,1604,618,6,8,4,22173.696,mbosecke/template-benchmark
YES,45499632,0,4,3,3,100,2,11997,9330,2,23,2,27593.1,intropro/prairie
NO,63765618,1,0,0,1,178,10,121096,22220,10,3,4,64665.264,tellison/incubator-pirk
NO,39257298,1,0,0,1,51,8,212083,198114,8,11,2,95182.8504,mwassil/inspectIT
YES,73728039,0,0,0,1,52,1,22208,21789,1,3,1,346.4448,VitrifiedCode/JavaUtilities
YES,19550581,0,0,0,1,31,1,633,58,1,1,1,1.9623,loxal/template
YES,15292023,0,12,2,3,237,2,19237,16746,2,26,1,308199.8244,cache2k/cache2k-benchmark
YES,2997701,0,1100,234,362,1225,41,24972,23569,41,2,1,276178957.74,Netflix/servo
NO,66001571,1,0,0,1,2620,31,52882,34701,31,1,1,429507.604,jotak/hawkular-metrics
NO,18880919,1,3,3,7,9,1,74939,315,1,8,1,2158.2432,ConSol/parallel-streams-example
YES,31647731,0,6,3,5,22,1,1062,465,1,4,1,65.4192,alexeyr/pcg-java
YES,36339304,0,0,0,1,1,1,70,19,1,1,1,0.007,gensym/jmh-lein-example
NO,53539645,1,0,0,1,347,9,9436,8172,9,4,1,11787.4512,jiakuan/commonmark-java
YES,358381,0,13,2,2,768,2,41578,33321,2,6,1,536455.9872,huxi/sulky
NO,36000097,1,0,0,1,596,15,33079,32308,15,3,2,88717.878,UniKnow/htm-java
YES,43409398,0,1022,145,32,22,3,4932,3469,3,8,2,266399.0208,promeG/TinyPinyin
YES,86217703,0,0,0,1,107,2,3328,2868,2,7,1,498.5344,MaridProject/typedmap
YES,50539539,0,1,0,2,58,1,8301,7604,1,1,1,96.2916,canepat/Helios
YES,52263315,0,3,3,2,15,1,1275,335,1,12,1,91.8,eranharel/memcached-java-clients-benchmark
YES,15226635,0,2,3,22,263,8,8228,7918,8,10,1,51935.136,addthis/codec
NO,41933457,1,0,0,1,991,18,9482,7576,18,8,2,135311.9328,mohanaraosv/commons-csv
NO,39898132,1,1,0,1,637,37,64317,59273,37,8,4,2425419.7968,vampiregod1996/grpc-java
NO,50587765,1,0,0,1,1551,83,75139,68371,83,40,1,38691475.548,agentgt/Hystrix
NO,43205929,1,0,0,1,724,4,11682,10345,4,2,1,6766.2144,AngryX/rxjava-jdbc
YES,43458896,0,1,0,1,30,3,717,457,3,6,1,77.436,d0k1/acache
YES,36317957,0,0,0,1,6,1,223,64,1,6,1,0.8028,tkowalcz/openjdk-jmh
YES,77063008,0,0,0,1,23,1,1029,547,1,1,1,2.3667,rslemos/pet-grammars
NO,84585128,1,0,0,0,1422,26,59745,34468,26,6,2,1325335.284,glamarre360/stagemonitor
YES,16662619,0,528,77,43,816,14,13421,12002,14,2,1,16221415.1232,davidmoten/rxjava-jdbc
YES,50001192,0,3,1,2,3,1,12036,10826,1,6,1,86.6592,bingoohuang/javacode-demo
YES,30984271,0,0,0,3,4,1,443,170,1,3,1,0.5316,restfb/restfb-benchmark
YES,84603051,0,5,0,1,317,1,127126,118369,1,3,1,72538.0956,hekate-io/hekate
YES,23539511,0,9,4,2,14,1,5592,5035,1,2,1,156.576,jsubercaze/simhashdb
YES,54779587,0,0,0,1,18,2,698,169,2,3,1,7.538399999999999,PhillHenry/palgorithms
YES,32528278,0,59,14,6,175,5,276052,7956,5,23,2,33333279,jsurfer/JsonSurfer
NO,89721979,1,0,0,1,102,3,11027,10444,3,9,1,3036.8358,checketts/spring-metrics
NO,50436374,1,0,1,1,0,0,22837,3027,0,1,1,0,jtulach/mx
NO,89742737,1,0,0,1,757,15,22678,20900,15,17,1,437764.773,ubschmidt2/instrumentation-java
NO,57351322,1,0,0,1,1990,93,199259,189877,93,31,9,114318275.703,dapengzhang0/grpc-java
YES,1397974,0,391,69,54,497,6,19243,16421,6,5,1,11246994.696,carrotsearch/hppc
YES,64898946,0,0,0,1,23,1,479,263,1,2,1,2.2034,LiveMyKarma/Finalizer
