project;commit;benchmark;params;i96Cov;i97Cov;i98Cov;i99Cov;i100Cov;maxDeltaCov;i96Ci;i97Ci;i98Ci;i99Ci;i100Ci;maxDeltaCi;maxCi;i96Divergence;i97Divergence;i98Divergence;i99Divergence;i100Divergence;averageDivergence
rxjava;;io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowableDedicated;count=1000000;0.136799849;0.136505937;0.136157793;0.135851091;0.135522697;0.001277153;0.043848254;0.043196071;0.044487445;0.038317724;0.043156986;0.004839262;0.044487445;0.946877219;0.987250246;0.952355685;0.206010667;0.961666994;0.810832162
rxjava;;io.reactivex.parallel.ParallelPerf.groupBy;compute=1&count=10000&parallelism=1;0.255939004;0.255929654;0.255948702;0.25595872;0.256051216;1.22E-04;0.129959016;0.139625567;0.134064981;0.139251049;0.134813612;0.004854596;0.139625567;0.996878931;0.574760145;0.589367682;0.938466393;0.956607972;0.811216225
rxjava;;io.reactivex.BinaryFlatMapPerf.maybeFlatMapPublisher;times=1;0.336238936;0.334681076;0.334145638;0.333876412;0.33243349;0.003805447;0.025972836;0.02690463;0.037034536;0.035670062;0.029650686;0.00738385;0.037034536;0.767879689;0.997083227;0.771840979;0.767897473;0.765489332;0.81403814
rxjava;;io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain;count=1000000;0.107724319;0.107501549;0.10725167;0.106988109;0.106733593;9.91E-04;0.036989131;0.040931131;0.039648158;0.037927808;0.041163152;0.004174021;0.041163152;0.736963879;0.528246067;0.823596051;0.989781173;0.995570088;0.814831452
rxjava;;io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain;count=1;0.205560414;0.204802277;0.204040813;0.203136285;0.202677861;0.002882553;0.01478555;0.018970967;0.01519167;0.014505656;0.014952324;0.004018643;0.018970967;0.707903683;0.997528408;0.996543401;0.689995735;0.691220352;0.816638316
rxjava;;io.reactivex.StrictPerf.internal;count=10000&cpu=1;0.067573932;0.067263564;0.067015659;0.066768308;0.066535233;0.001038699;0.011573037;0.010880684;0.011374629;0.014505697;0.010546204;0.003959493;0.014505697;0.452937706;0.996254832;0.997371976;0.967732689;0.678040208;0.818467482
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;0.964692538;0.96461022;0.964533692;0.964435722;0.964576687;1.41E-04;0.135878918;0.110320241;0.13795885;0.136705783;0.14614709;0.035826848;0.14614709;0.820550891;0.997947923;0.964931542;0.973817494;0.996243529;0.950698276
log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.210324723;0.211757321;0.21080619;0.209822554;0.210187316;0.001570005;0.011044804;0.014290297;0.016755142;0.018990298;0.010615268;0.00837503;0.018990298;0.82208859;0.976568298;0.980485945;0.930568263;0.99390164;0.940722547
rxjava;;io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated;count=100;0.117929526;0.121599893;0.121101979;0.120547598;0.120033297;0.002103771;0.007307883;0.011537625;0.010033329;0.009596237;0.007993753;0.003543872;0.011537625;0.693707527;0.710155664;0.994049282;0.72598324;0.99803848;0.824386839
rxjava;;io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated;count=1000000;0.08969018;0.089508651;0.089217514;0.088987869;0.088750011;9.40E-04;0.026560318;0.027658198;0.027411567;0.026794156;0.028132397;0.001572078;0.028132397;0.968510177;0.656008655;0.977402546;0.533693594;0.992654126;0.82565382
rxjava;;io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observableConvert;count=1000000;0.126722478;0.126381605;0.126073213;0.125766713;0.125426306;0.001296172;0.047285875;0.042594614;0.046875749;0.04422856;0.040928345;0.006357531;0.047285875;0.641857448;0.516798015;0.994322608;0.996037806;0.990167749;0.827836725
rxjava;;io.reactivex.FlattenRangePerf.flowable;times=1;0.268981554;0.268995883;0.269048074;0.267800977;0.266536838;0.002511236;0.020907529;0.02912143;0.013408625;0.015126063;0.016612999;0.012508431;0.02912143;0.737712193;0.994330479;0.996664146;0.724658163;0.71264718;0.833202432
