"project","className","benchmarkName","sameConfig","warmupIterationsPre","warmupIterationsPost","warmupTimePre","warmupTimePost","measurementIterationsPre","measurementIterationsPost","measurementTimePre","measurementTimePost","forksPre","forksPost"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","concatMapAkkaRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","concatMapRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","flatMapRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","concatMapAkkaRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","flatMapAkkaRxAkka","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","concatMapRxRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsCrossMapPerf","flatMapRxRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","plainExecutor","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","plainForkJoin","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","observableExecutor","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.classic.ClassicAsyncPerf","observableForkJoin","true","5","5","","","5","5","1.0","1.0","1","1"
