project,computationFailed,aheadBy,behindBy,nothingChanged
michael0521/java-8-lambdas-exercises,false,0,25,true
haozhun/airlift,false,0,696,true
devisnik/RxJava,false,0,3354,true
prembasumatary/feign,false,1,403,false
sabineheider/eclipselink.runtime,true,,,
raulavila/java-8-lambdas-exercises,false,0,25,true
yuanyuanlove/java-8-lambdas-exercises,false,0,25,true
martint/airlift,false,0,912,true
jaredstehler/jinjava,false,1,1016,false
mukadder/java-8-lambdas-exercises,true,,,
Maccimo/commons-bcel,false,1,753,false
jasonchaffee/parseq,false,1,441,false
zhenyuy-fb/airlift,false,1,642,false
