"project","className","jmhVersion","benchmarkName","executionTimePercentage","warmupTimePercentage","measurementTimePercentage","measurementWarmupRatio","stars","forks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithIObsOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithI4JOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithCyclopsReactOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithDirect","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithRscParallelOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithRxJava2ParallelOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithIxOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithReactor3Opt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithLSABeta","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithReactor3ParallelOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
