project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
rxjava;;io.reactivex.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain;count=100000;0.05677339;0.05014975;0.03776639;0.0248588;0.00842236;3.57E-12;8.15E-10;3.74E-06;0.002330731;0.302307142;0;4.99E-04;3.68E-04;1.56E-04;4.68E-04
rxjava;;io.reactivex.xmapz.FlowableSwitchMapSinglePerf.flowableDedicated;count=100;0.01052096;5.72E-04;0.002385977;0.01582772;0.022693488;0.197566066;0.944185486;0.770134159;0.052569146;0.005451053;0;0;0;0;6.43E-04
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1000&maxConcurrency=1&work=1;0.0658922;0.0252047;0.01711391;0.03811328;0.00446839;7.03E-16;0.002022859;0.0360853;3.04E-06;0.584206926;0;0.003996;0.008855;0.009225;0.004646
rxjava;;io.reactivex.parallel.ParallelPerf.flatMap;compute=10&count=10000&parallelism=2;0.08096632;0.00315432;0.10242318;0.05171698;0.08258418;3.54E-23;0.699264084;4.29E-36;2.39E-10;4.78E-24;0;0;0.0044903;0.0031521;0.0029383
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observableConvert;count=10;2.21E-04;0.003535294;0.00854238;0.00333511;0.007794679;0.978412164;0.665066206;0.295469878;0.682939166;0.339779189;0;0.0016248;0.0011218;0.0028059;0
rxjava;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1;0.130297136;0.12112374;0.059152519;0.059101954;0.041358092;2.84E-57;9.83E-50;4.44E-13;4.59E-13;4.11E-07;0.0065688;0.0056451;0;0;4.45E-04
rxjava;;io.reactivex.StrictPerf.internal;count=1&cpu=100;0.014379027;0.023138784;0.013613073;0.00407061;0.005102491;0.078354347;0.004618653;0.095613142;0.618248652;0.532184428;0;0;1.46E-04;2.82E-04;0.001054
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100000&maxConcurrency=32&work=100;0.08632911;0.04651441;0.08016184;0.08308243;0.03925171;3.98E-26;1.22E-08;9.46E-23;2.56E-24;1.53E-06;0;0.0035667;0;0;0
rxjava;;io.reactivex.parallel.ParallelPerf.groupBy;compute=100&count=10000&parallelism=3;0.40931385;0.27076554;0.20526847;0.11618065;0.05872075;0;3.93E-241;1.84E-139;6.07E-46;6.40E-13;0.12742;0.0573014;0.0469047;0.0185775;0.0094773
rxjava;;io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1;times=1000000;0.0806126;0.04624719;0.02547072;0.01308509;0.02932111;5.47E-23;1.48E-08;0.00181198;0.109034123;3.29E-04;0;0;0;0;0
rxjava;;io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert;count=10;0.267042764;0.202507221;0.119357396;0.063031066;0.04308836;1.36E-234;8.80E-136;2.17E-48;1.17E-14;1.31E-07;0.004287;0;9.32E-04;6.00E-06;0
rxjava;;io.reactivex.ToFlowablePerf.observableInner;times=1000;0.032836167;0.006364359;0.025858396;0.019365013;0.00140175;5.79E-05;0.435747848;0.001541075;0.017714027;0.863696933;0.001686;0.001356;3.98E-04;0.002712;6.54E-04
rxjava;;io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs0;times=10;0.025188384;0.018939748;0.020796098;0.014762719;0.017037524;0.002038612;0.020370003;0.010875529;0.07062587;0.036942296;0.0037354;0;0;0;0.0054427
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observablePlain;count=100;0.005005722;0.013478308;0.01174921;0.00350032;0.01393313;0.539868482;0.098806733;0.150187212;0.668149436;0.087955537;1.28E-04;0;0.001676;0;7.07E-04
rxjava;;io.reactivex.FlatMapJustPerf.flowable;times=1000;0.227115613;0.102460397;0.016711008;0.031791714;0.015635141;4.80E-170;4.73E-36;0.040836349;1.00E-04;0.055700269;0.060745;0;0;0;0
