project;commit;benchmark;params;< 3%;< 2%;< 1%;< 0.5%
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=1000;20;23;25;52
ReactiveX/RxJava;;io.reactivex.parallel.ParallelPerf.flatMap;compute=100,count=10000,parallelism=4;23;24;25;50
ReactiveX/RxJava;;io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1;times=100;12;16;25;42
ReactiveX/RxJava;;io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain;count=10000;12;16;25;42
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert;count=100;10;11;25;41
ReactiveX/RxJava;;io.reactivex.FlattenJustPerf.flowable;times=100000;11;16;25;39
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap;items=100000,maxConcurrency=1;12;16;25;39
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test03_getCallerClassNameReflectively;;11;14;25;37
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;9;15;25;36
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=100;15;17;25;35
ReactiveX/RxJava;;io.reactivex.XMapYPerf.flowFlatMapIterable1;times=1000;11;16;25;35
ReactiveX/RxJava;;io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain;count=1000;11;14;25;34
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observableConvert;count=100000;12;16;25;31
ReactiveX/RxJava;;io.reactivex.parallel.ParallelPerf.groupBy;compute=10,count=10000,parallelism=3;16;20;25;30
ReactiveX/RxJava;;io.reactivex.XMapYPerf.obsFlatMapIterableAsObs1;times=100000;9;10;25;28
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;14;16;25;27
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;12;13;25;27
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test07_getReflectiveCallerClassUtility;;5;16;25;27
ReactiveX/RxJava;;io.reactivex.OperatorMergePerf.mergeNAsyncStreamsOfN;size=1;17;19;25;27
ReactiveX/RxJava;;io.reactivex.XMapYPerf.flowFlatMapIterable1;times=100;11;13;25;27
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;15;16;25;26
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;12;14;25;26
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;9;10;25;26
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;13;14;24;47
ReactiveX/RxJava;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000;12;16;24;42
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=NoGcSortedArray;11;16;24;40
ReactiveX/RxJava;;io.reactivex.XMapYPerf.obsFlatMapSingleAsObs1;times=100000;12;16;24;39
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.stringGetBytes;;13;16;24;37
ReactiveX/RxJava;;io.reactivex.TakeUntilPerf.observable;;14;18;24;37
ReactiveX/RxJava;;io.reactivex.XMapYPerf.flowFlatMapFlowable1;times=100;13;16;24;37
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observableConvert;count=100000;10;11;24;37
ReactiveX/RxJava;;io.reactivex.FlattenRangePerf.flowable;times=100;12;15;24;36
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1000,maxConcurrency=1,work=1000;13;16;24;36
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.julFile;;12;16;24;34
ReactiveX/RxJava;;io.reactivex.parallel.ParallelPerf.groupBy;compute=10,count=10000,parallelism=4;12;12;24;34
ReactiveX/RxJava;;io.reactivex.XMapYPerf.flowFlatMapCompletableAsFlow0;times=100000;11;15;24;34
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert;count=100000;12;16;24;34
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;20;22;24;31
