project;commit;benchmark;param;i9;i10;i10 - i9;i90;i100;i100 -i90
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;0.990235291;0.993217009;0.002981718;0.994423872;0.992420108;-0.002003764
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;0.994082831;0.992413507;-0.001669324;0.998563991;0.998454102;-0.000109889
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;0.996139648;0.997026642;0.000886994;0.987705198;0.992237475;0.004532277
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;0.9942302;0.996171833;0.001941633;0.985464211;0.989929055;0.004464844
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;0.987512484;0.986210173;-0.001302311;0.996250099;0.993809597;-0.002440502
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput4Params;;0.998201194;0.995232931;-0.002968263;0.949648276;0.990797473;0.041149197
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput5Params;;0.985700271;0.995762116;0.010061845;0.985837958;0.993872286;0.008034328
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput6Params;;0.995233756;0.989495953;-0.005737803;0.997592841;0.995793;-0.001799841
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput7Params;;0.993742041;0.993428846;-0.000313195;0.997317909;0.994176107;-0.003141802
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput8Params;;0.99281559;0.995607974;0.002792384;0.731705549;0.997155863;0.265450314
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params;;0.990561355;0.99522322;0.004661865;0.994673127;0.995700476;0.001027349
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughputSimple;;0.995690578;0.991269315;-0.004421263;0.982137564;0.977522372;-0.004615192
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;0.992964167;0.992047221;-0.000916946;0.96784153;0.936210961;-0.031630569
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;0.993762303;0.973095115;-0.020667188;0.994372897;0.96935895;-0.025013947
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.cachedClock;;0.9895231;0.99423166;0.00470856;0.995170498;0.989417679;-0.005752819
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;0;0;0;0.993947374;0.994542505;0.000595131
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;0.748178123;0.998555143;0.25037702;0.997512551;0.996883908;-0.000628643
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;0.996011805;0.998266244;0.002254439;0.998130571;0.995434005;-0.002696566
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;0;0;0;0.996438948;0.996051596;-0.000387352
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;0.994844478;0.952609858;-0.04223462;0.989746952;0.994947741;0.005200789
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;0.986069135;0.998494268;0.012425133;0.995510124;0.990610151;-0.004899973
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList1Element;;0.981645799;0.995689144;0.014043345;0.992045613;0.992732854;0.000687241
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.996443792;0.995178728;-0.001265064;0.975181941;0.882000888;-0.093181053
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;0.992765776;0.995425864;0.002660088;0.995795154;0.997012603;0.001217449
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet3Element;;0.931301379;0.996571234;0.065269855;0.999806985;0;-0.999806985
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;0.98671274;0.812901948;-0.173810792;0.994038215;0.999149798;0.005111583
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap3Elements;;0.994800338;0.995680306;0.000879968;0;0;0
