project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;0.978072851;0.993653241;0.989221609;0.987035095;0.977508339;0.995513617;0.990195456;0.989526204;0.995138528
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;0.976930426;0.973429224;0.977312253;0.87028965;0.997870738;0.968323055;0.97710364;0.980196405;0.944377916
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;0.988250321;0.985655457;0.899513879;0.996672495;0.995404185;0.992586665;0.980191424;0.990430736;0.988519412
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.910108752;0.97030832;0.992072446;0.98878924;0.97952143;0.993467163;0.936446777;0.931119106;0.98253425
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.982239803;0.963366241;0.980156017;0.970797431;0.951152757;0.923083401;0.960588103;0.999198768;0.99425972
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;0.976869006;0.986372857;0.989562118;0.992960039;0.953588969;0.99449754;0.985688575;0.996488331;0.977607028
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;0.994587082;0.983920329;0.993848129;0.992101517;0.994893157;0.993118089;0.995560339;0.990235291;0.993217009
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;0.980765792;0.989598842;0.988092739;0.997977332;0.977990214;0.994536634;0.993092822;0.994082831;0.992413507
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;0.993081455;0.989020959;0.985959031;0.995128611;0.997601873;0.990844083;0.99193147;0.996139648;0.997026642
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;0.974906464;0.991337455;0.99548541;0.980854391;0.986252677;0.995793025;0.993242489;0.9942302;0.996171833
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;0.990542084;0.996732051;0.994151218;0.992609712;0.993073664;0.996077538;0.994218749;0.987512484;0.986210173
